0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:23:54 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:23:56 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:23:57 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5765
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:23:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:11:07 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5765
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:11:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:11:28 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:11:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:11:47 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:11:47 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:11:51 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13519
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:12:03 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=23 HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:13:44 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=23 HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:14:03 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=23 HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:14:07 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=23 HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:14:30 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=23 HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:15:13 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=23 HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:15:33 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13519
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:15:41 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13545
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:15:48 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13519
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:15:57 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13545
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:16:03 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=23 HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:16:06 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13519
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:16:10 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13519
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:16:34 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:16:34 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:16:34 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:16:34 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:16:34 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:21:16:36 +0530] "GET /ORS_Project4/doc/com/rays/pro4/bean/package-summary.html HTTP/1.1" 404 927
